accept client :           7 | 0.0.0.0:8000             ++++++++++++++
data complet from :       7 | 0.0.0.0:8000
HEADER SENT TO:           7 | 0.0.0.0:8000
accept client :          10 | 0.0.0.0:8000             ++++++++++++++
accept client :          11 | 0.0.0.0:8000             ++++++++++++++
data complet from :      10 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
RES close conection :    10 | 0.0.0.0:8000             *
data complet from :      11 | 0.0.0.0:8000
RES close conection :    11 | 0.0.0.0:8000             *
accept client :          10 | 0.0.0.0:8000             ++++++++++++++
data complet from :      10 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
accept client :          12 | 0.0.0.0:8000             ++++++++++++++
data complet from :      12 | 0.0.0.0:8000
HEADER SENT TO:          12 | 0.0.0.0:8000
RES close conection :    10 | 0.0.0.0:8000             *
RES close conection :    12 | 0.0.0.0:8000             *
accept client :          10 | 0.0.0.0:8000             ++++++++++++++
data complet from :      10 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
RES close conection :    10 | 0.0.0.0:8000             *
accept client :          10 | 0.0.0.0:8000             ++++++++++++++
data complet from :      10 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
accept client :          12 | 0.0.0.0:8000             ++++++++++++++
RES close conection :    10 | 0.0.0.0:8000             *
data complet from :      12 | 0.0.0.0:8000
RES close conection :    12 | 0.0.0.0:8000             *
accept client :          10 | 0.0.0.0:8000             ++++++++++++++
data complet from :      10 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
HEADER SENT TO:           7 | 0.0.0.0:8000
HEADER SENT TO:          10 | 0.0.0.0:8000
HEADER SENT TO:           7 | 0.0.0.0:8000
RES close conection :     7 | 0.0.0.0:8000             *
RES close conection :     8 | 0.0.0.0:8000             *
RES close conection :    10 | 0.0.0.0:8000             *


accept client :           9 | 0.0.0.0:8550             ++++++++++++++
data complet from :       9 | 0.0.0.0:8550
HEADER SENT TO:           9 | 0.0.0.0:8550
accept client :          10 | 0.0.0.0:8550             ++++++++++++++
HEADER SENT TO:           9 | 0.0.0.0:8550
RES close conection :     9 | 0.0.0.0:8550             *
data complet from :      10 | 0.0.0.0:8550
RES close conection :    10 | 0.0.0.0:8550             *
accept client :           8 | 0.0.0.0:8550             ++++++++++++++
data complet from :       8 | 0.0.0.0:8550
HEADER SENT TO:           8 | 0.0.0.0:8550
HEADER SENT TO:           8 | 0.0.0.0:8550
RES close conection :     8 | 0.0.0.0:8550             *
RES close conection :    10 | 0.0.0.0:8550             *
RES close conection :     9 | 0.0.0.0:8550             *
RES close conection :    14 | 0.0.0.0:8550             *

accept client :          13 | 0.0.0.0:3000             ++++++++++++++
accept client :          14 | 0.0.0.0:3000             ++++++++++++++
data complet from :      13 | 0.0.0.0:3000
HEADER SENT TO:          13 | 0.0.0.0:3000
RES close conection :    13 | 0.0.0.0:3000             *
RES close conection :     9 | 0.0.0.0:3000             *
data complet from :      15 | 0.0.0.0:3000
data complet from :      14 | 0.0.0.0:3000
HEADER SENT TO:          15 | 0.0.0.0:3000
RES close conection :    15 | 0.0.0.0:3000             *
RES close conection :    14 | 0.0.0.0:3000             *
accept client :           9 | 0.0.0.0:3000             ++++++++++++++
data complet from :       9 | 0.0.0.0:3000
HEADER SENT TO:           9 | 0.0.0.0:3000
accept client :          10 | 0.0.0.0:3000             ++++++++++++++
data complet from :      10 | 0.0.0.0:3000
HEADER SENT TO:          10 | 0.0.0.0:3000
accept client :           7 | 0.0.0.0:3000             ++++++++++++++
data complet from :       7 | 0.0.0.0:3000
HEADER SENT TO:           7 | 0.0.0.0:3000



accept client :           9 | 0.0.0.0:8180             ++++++++++++++
data complet from :       9 | 0.0.0.0:8180
HEADER SENT TO:           9 | 0.0.0.0:8180
accept client :          15 | 0.0.0.0:8180             ++++++++++++++
accept client :          14 | 0.0.0.0:8180             ++++++++++++++
data complet from :      14 | 0.0.0.0:8180
HEADER SENT TO:          14 | 0.0.0.0:8180
accept client :          16 | 0.0.0.0:8180             ++++++++++++++
RES close conection :    14 | 0.0.0.0:8180             *
data complet from :      16 | 0.0.0.0:8180
RES close conection :    16 | 0.0.0.0:8180             *
accept client :          14 | 0.0.0.0:8180             ++++++++++++++
data complet from :      14 | 0.0.0.0:8180
HEADER SENT TO:          14 | 0.0.0.0:8180
accept client :           8 | 0.0.0.0:8180             ++++++++++++++
data complet from :       8 | 0.0.0.0:8180
HEADER SENT TO:           8 | 0.0.0.0:8180
accept client :           9 | 0.0.0.0:8180             ++++++++++++++
data complet from :       9 | 0.0.0.0:8180
HEADER SENT TO:           9 | 0.0.0.0:8180
